voted_for,gender,education,age,white
Biden,Female,4-year,42,Yes
Biden,Male,4-year,32,Yes
Biden,Female,4-year,70,Yes
Biden,Male,Some college,54,Yes
Biden,Male,Post-grad,79,Yes
Biden,Female,4-year,53,Yes
Trump,Male,Post-grad,67,Yes
Biden,Male,Post-grad,30,Yes
Biden,Male,4-year,35,Yes
Biden,Male,Post-grad,75,Yes
Trump,Male,Post-grad,73,Yes
Biden,Male,4-year,59,Yes
Biden,Male,Post-grad,71,Yes
Biden,Male,High school graduate,67,Yes
Biden,Male,Post-grad,64,Yes
Trump,Male,Post-grad,70,Yes
Biden,Female,2-year,79,Yes
Biden,Male,4-year,70,Yes
Trump,Female,Post-grad,71,Yes
Biden,Male,Post-grad,66,Yes
Trump,Female,Some college,62,Yes
Biden,Female,Some college,58,Yes
Trump,Female,4-year,46,Yes
Biden,Female,Some college,30,Yes
Trump,Female,4-year,46,Yes
Biden,Male,4-year,37,Yes
Biden,Female,Some college,61,Yes
Biden,Female,4-year,74,Yes
Biden,Male,Post-grad,83,Yes
Trump,Male,4-year,71,Yes
Trump,Male,4-year,65,Yes
Biden,Female,Post-grad,64,Yes
Biden,Male,4-year,63,Yes
Biden,Male,4-year,32,Yes
Biden,Male,Post-grad,82,Yes
Trump,Female,4-year,52,Yes
Biden,Male,Post-grad,68,Yes
Biden,Male,Some college,61,Yes
Biden,Male,4-year,43,Yes
Trump,Male,Post-grad,77,Yes
Biden,Male,Post-grad,82,Yes
Biden,Female,Post-grad,33,Yes
Trump,Male,4-year,76,Yes
Biden,Female,Some college,67,Yes
Biden,Female,Post-grad,45,No
Trump,Male,4-year,74,Yes
Biden,Female,4-year,39,No
Biden,Female,4-year,38,Yes
Trump,Male,Post-grad,75,Yes
Trump,Male,2-year,79,Yes
Trump,Female,4-year,58,No
Biden,Male,Post-grad,39,Yes
Biden,Male,Some college,70,No
Trump,Male,4-year,72,Yes
Trump,Male,Post-grad,50,No
Trump,Male,Some college,59,Yes
Trump,Male,Some college,47,Yes
Biden,Female,Some college,59,Yes
Biden,Male,4-year,70,Yes
Biden,Male,Some college,55,Yes
Trump,Female,2-year,69,Yes
Trump,Female,2-year,51,Yes
Biden,Male,Post-grad,75,Yes
Trump,Male,Post-grad,72,Yes
Biden,Male,4-year,71,Yes
Biden,Female,4-year,60,Yes
Biden,Female,Some college,70,No
Biden,Male,4-year,34,Yes
Trump,Female,Some college,64,Yes
Trump,Male,Post-grad,41,No
Biden,Male,Post-grad,71,Yes
Trump,Male,2-year,47,Yes
Trump,Female,4-year,71,Yes
Biden,Male,Post-grad,80,No
Biden,Female,4-year,68,Yes
Biden,Female,Some college,83,Yes
Biden,Male,4-year,77,No
Biden,Female,Post-grad,33,No
Biden,Female,2-year,52,Yes
Trump,Female,Some college,51,Yes
Biden,Male,Post-grad,68,Yes
Biden,Male,Post-grad,56,Yes
Biden,Male,Post-grad,83,Yes
Biden,Female,Some college,71,Yes
Biden,Male,4-year,65,Yes
Trump,Male,4-year,56,No
Trump,Male,Post-grad,66,Yes
Biden,Male,4-year,78,Yes
Biden,Female,4-year,56,Yes
Biden,Female,Some college,62,Yes
Biden,Female,Post-grad,42,Yes
Biden,Female,4-year,51,Yes
Biden,Male,2-year,67,Yes
Trump,Male,2-year,79,Yes
Trump,Male,4-year,58,Yes
Biden,Male,Post-grad,53,No
Biden,Female,4-year,74,Yes
Biden,Male,4-year,71,Yes
Biden,Female,Some college,74,Yes
Trump,Female,Some college,79,Yes
Trump,Female,Post-grad,57,Yes
Biden,Female,Post-grad,72,Yes
